,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,0.10954324,0.038072817,0.119316444,0.22913758,0.25170696,0.027451554,0.06163116,0.1124022,0.050738007
1,0.061697762,0.27479696,0.054730732,0.115258016,0.054269005,0.074308105,0.16248618,0.14797314,0.05448014
2,0.07915768,0.043025427,0.07729897,0.1426798,0.03784463,0.14414312,0.17062756,0.038598903,0.26662388
3,0.05702697,0.029003982,0.03503573,0.118255824,0.5306994,0.07851095,0.06247208,0.06132635,0.02766873
4,0.073258415,0.043679886,0.07059147,0.12452534,0.05118767,0.043246336,0.085575335,0.46179834,0.04613722
5,0.109808035,0.06967412,0.09743523,0.02041474,0.2543974,0.026489712,0.03865319,0.20743553,0.17569207
6,0.42423743,0.03719166,0.14585344,0.02882487,0.23715335,0.020583114,0.03825388,0.019655962,0.04824632
7,0.10964458,0.08016487,0.110809475,0.042214137,0.052386228,0.34636378,0.07739515,0.10242396,0.078597814
8,0.21176738,0.21247816,0.19408207,0.13291627,0.049421705,0.05073797,0.030059783,0.09095963,0.027577056
9,0.06958325,0.23830904,0.1166339,0.08306934,0.065865554,0.06590734,0.21868764,0.07316894,0.068774976
10,0.08943256,0.05673941,0.20246227,0.06141101,0.1190665,0.3011296,0.07502408,0.050693803,0.044040717
11,0.27496016,0.04923941,0.068458244,0.11398609,0.100935765,0.041348986,0.040336445,0.2706381,0.040096756
12,0.17924885,0.033618297,0.034395006,0.16137986,0.29105434,0.08916796,0.12871951,0.047559656,0.03485654
13,0.08680771,0.23567218,0.10353662,0.061899923,0.102116756,0.065584175,0.16006038,0.051491193,0.13283105
14,0.04120589,0.29869857,0.08701638,0.10135617,0.108652495,0.039098322,0.12844339,0.036516327,0.1590124
15,0.059697464,0.062011648,0.14602965,0.062656246,0.063426174,0.06528476,0.061519,0.1535234,0.32585165
16,0.10688203,0.24666336,0.06479087,0.10636032,0.05849164,0.09685015,0.12425051,0.0730365,0.122674644
17,0.09857767,0.21537961,0.053886663,0.13582975,0.25551715,0.051436502,0.08604033,0.037594933,0.06573742
18,0.10480925,0.05339517,0.3562979,0.06110628,0.08718581,0.22515465,0.05271567,0.027754178,0.03158104
19,0.045611717,0.035793245,0.2291002,0.13639335,0.14657056,0.12709968,0.04253933,0.18496564,0.051926315
20,0.042599782,0.16374548,0.2831998,0.04501884,0.1698097,0.05186376,0.15091912,0.04643717,0.046406336
21,0.0470524,0.073008426,0.05332075,0.05511785,0.1501247,0.061948918,0.06951016,0.13198191,0.35793486
22,0.03577087,0.05868405,0.04401999,0.31389365,0.11748124,0.059639193,0.25583312,0.02810573,0.086572155
23,0.0861365,0.39789158,0.036895107,0.11497467,0.119527824,0.041209262,0.08725798,0.07913027,0.036976833
