,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,0.10773629,0.037061647,0.12135237,0.22806329,0.24772517,0.027515,0.06484345,0.11507844,0.050624352
1,0.061573897,0.27383298,0.054723237,0.11933189,0.05427425,0.0748714,0.16002607,0.14689225,0.054474074
2,0.0802421,0.043583877,0.07458247,0.14763826,0.037917815,0.14147857,0.16942695,0.03890033,0.26622963
3,0.05688208,0.028975923,0.034803476,0.116348445,0.53298813,0.07922337,0.06132503,0.061728682,0.02772483
4,0.07173785,0.043712135,0.070366964,0.12473734,0.050560996,0.043259,0.08608108,0.46343154,0.046113085
5,0.10708964,0.06980713,0.09760261,0.020280669,0.25292987,0.026146755,0.039398633,0.20864688,0.17809784
6,0.42741272,0.036806248,0.14712797,0.027807297,0.2348931,0.020512369,0.038476393,0.019608025,0.047355853
7,0.112451814,0.07990475,0.102806725,0.04470139,0.051915776,0.3450314,0.07764966,0.10212998,0.08340852
8,0.21394165,0.21308662,0.191988,0.13455604,0.045818307,0.054403152,0.029765775,0.08919864,0.027241798
9,0.06895369,0.23399042,0.1170766,0.084982395,0.067516916,0.06576117,0.21998899,0.072826535,0.06890328
10,0.0874442,0.05667124,0.20082036,0.06205995,0.12022993,0.3021109,0.07598843,0.050619237,0.044055715
11,0.2771652,0.049322933,0.06977775,0.11432959,0.09873421,0.041190244,0.04032133,0.26919678,0.03996193
12,0.17961037,0.033632077,0.03437846,0.1592702,0.29199472,0.08853141,0.13053548,0.04763488,0.034412403
13,0.08600598,0.24103552,0.105402775,0.06264581,0.0995614,0.06445257,0.15649965,0.051616985,0.13277932
14,0.039548688,0.29957688,0.084907606,0.10036314,0.110900484,0.03895783,0.13013259,0.03651035,0.15910241
15,0.059611306,0.06192499,0.1454945,0.062555,0.06350218,0.06542748,0.06159104,0.15280344,0.32709005
16,0.107086584,0.24955323,0.06476698,0.1025621,0.058541063,0.10203309,0.122039825,0.06980304,0.123614095
17,0.098764665,0.217553,0.05483333,0.13624758,0.25357294,0.05341852,0.08225107,0.037599843,0.065759026
18,0.10498991,0.054692317,0.3576439,0.062366035,0.08606783,0.22311106,0.05150257,0.027779084,0.03184724
19,0.042383846,0.037901368,0.23369488,0.13797794,0.14826353,0.123822495,0.042723972,0.18115088,0.05208106
20,0.042958114,0.16607651,0.28670728,0.04484853,0.16946973,0.05266324,0.14434247,0.046693392,0.046240743
21,0.04712978,0.072926804,0.0530051,0.054932773,0.1504131,0.061952543,0.0683243,0.132091,0.3592246
22,0.03609135,0.05876775,0.043969207,0.31155002,0.118628666,0.057528563,0.25844115,0.028134352,0.086888894
23,0.086539194,0.39744025,0.03689607,0.113096796,0.12316179,0.041500136,0.08707474,0.0780758,0.036215223
24,0.06725501,0.07985458,0.052515175,0.39402276,0.109015085,0.02461067,0.035600137,0.20239921,0.034727365
25,0.090192,0.048015475,0.16023077,0.025196524,0.18433131,0.032310106,0.09195553,0.22430132,0.143467
26,0.050562132,0.30278474,0.06662774,0.041039426,0.04048758,0.059582993,0.040793903,0.26074487,0.1373766
27,0.14123309,0.109906666,0.14050259,0.19358964,0.06338224,0.029379345,0.028773868,0.20812027,0.08511227
28,0.054177165,0.13338342,0.060260303,0.054230347,0.05427969,0.06708827,0.05413632,0.13745879,0.38498572
29,0.03223191,0.036570244,0.0990209,0.050841868,0.072074674,0.042281274,0.03175532,0.5855224,0.049701426
30,0.2431446,0.030174788,0.08908693,0.04141398,0.2488214,0.0822024,0.042249903,0.051682368,0.17122369
31,0.027155926,0.0217389,0.19093335,0.3535679,0.03574293,0.018519804,0.07433481,0.10228587,0.17572048
32,0.121515684,0.072435446,0.110823356,0.17702124,0.08807879,0.17141321,0.15011553,0.05504402,0.053552747
33,0.26764953,0.063759655,0.061250087,0.06071985,0.06590342,0.06571067,0.060536373,0.06060422,0.29386622
34,0.15768583,0.047736865,0.13844763,0.15167546,0.12866914,0.033634137,0.084479004,0.1008162,0.1568557
35,0.07649913,0.07790591,0.14496347,0.07259918,0.07061988,0.06990992,0.0701087,0.076020725,0.3413731
36,0.10982753,0.28190276,0.22986783,0.09427449,0.064238295,0.07286329,0.028027635,0.097054906,0.021943253
37,0.07610214,0.076254725,0.0927871,0.07600911,0.17387365,0.15870468,0.07566101,0.09651118,0.17409639
38,0.07692555,0.055488754,0.032415815,0.54923886,0.100314006,0.03437332,0.062422585,0.058097173,0.030723913
39,0.10889733,0.081422806,0.16586415,0.060475055,0.32144445,0.074504726,0.056173403,0.07694957,0.05426851
40,0.057544056,0.048231274,0.06613365,0.04825674,0.097581245,0.12656827,0.31350985,0.06676368,0.17541124
41,0.078158595,0.06626099,0.03808377,0.059334822,0.20000334,0.025821252,0.02752219,0.34071314,0.16410191
42,0.07104927,0.0519738,0.20260786,0.058737174,0.11080792,0.20953381,0.06855126,0.03173108,0.19500783
43,0.041348558,0.10794045,0.24473567,0.09664363,0.21490192,0.060831297,0.09111353,0.12353654,0.0189484
44,0.057654776,0.3110174,0.24878481,0.057863884,0.06037664,0.085772716,0.102463655,0.042421978,0.033644147
45,0.110053785,0.15790516,0.13600808,0.08502065,0.11916629,0.12937815,0.036324795,0.047708534,0.17843452
46,0.02388718,0.093816616,0.06674898,0.028070703,0.58572334,0.04122567,0.079131424,0.0251492,0.056246888
47,0.06733282,0.018308084,0.21547619,0.41768637,0.026870223,0.015185225,0.027348723,0.13587596,0.07591641
48,0.06518428,0.13145304,0.106198676,0.046381485,0.070891574,0.07527569,0.040485036,0.41585785,0.048272368
49,0.036361445,0.03979634,0.17737493,0.049117193,0.37912306,0.07723703,0.089141935,0.12267758,0.029170517
50,0.046773188,0.14161976,0.06671968,0.045507662,0.1000608,0.31662872,0.06497738,0.042766,0.17494678
51,0.047809456,0.47858205,0.04189638,0.10333246,0.043634303,0.05593346,0.14069079,0.051072203,0.037048873
52,0.026152465,0.08850175,0.0709187,0.25913993,0.025889529,0.10373147,0.12924968,0.18989587,0.10652063
53,0.15430544,0.040304955,0.046015713,0.046480265,0.038085245,0.2661133,0.07896518,0.052870512,0.2768594
54,0.03898182,0.060973603,0.14959967,0.074542664,0.32069442,0.01962179,0.062145807,0.16477153,0.10866868
55,0.043569084,0.2110114,0.11757232,0.36780062,0.035522223,0.029124353,0.032340903,0.12409339,0.038965702
56,0.14267382,0.04449415,0.05500038,0.14128801,0.38810286,0.023676738,0.03543448,0.13238777,0.036941804
57,0.059732966,0.03305828,0.10160296,0.21859021,0.2027236,0.042414125,0.09322716,0.11282402,0.13582668
58,0.04385568,0.045954797,0.42412487,0.11053239,0.06496422,0.0281423,0.14177355,0.032578506,0.108073704
59,0.059075724,0.045283034,0.12056105,0.05093539,0.05206259,0.22015901,0.3552259,0.045468304,0.051229008
60,0.115237206,0.060243636,0.112420015,0.044264253,0.08317605,0.3931265,0.052529626,0.044900574,0.0941021
61,0.06355869,0.035719126,0.03756429,0.037437662,0.12512784,0.085536815,0.20558201,0.03606553,0.37340805
62,0.08219461,0.15771623,0.060891148,0.060074676,0.08840802,0.41049424,0.028205525,0.079928935,0.032086592
63,0.032182977,0.11142149,0.049591567,0.123404875,0.10408882,0.10627101,0.17754155,0.040034004,0.2554637
64,0.037923552,0.21239516,0.08509428,0.14974026,0.09240887,0.06853323,0.28016776,0.027741814,0.045995064
65,0.034872096,0.086637035,0.11945609,0.13492325,0.042890955,0.037776038,0.036885854,0.40654954,0.10000912
66,0.04208169,0.09478344,0.23567754,0.1181227,0.28392088,0.08683102,0.046171993,0.04778524,0.044625517
67,0.08701611,0.1536927,0.16302463,0.039637107,0.04163379,0.17103733,0.17570929,0.06771803,0.10053096
68,0.11979408,0.41691697,0.024974898,0.039272413,0.027837014,0.024413781,0.11958815,0.11677668,0.11042604
69,0.034578748,0.04996914,0.05808848,0.20764673,0.29081073,0.21904743,0.06511041,0.028548637,0.046199728
70,0.119604245,0.045295905,0.057317913,0.15508047,0.2190951,0.03208072,0.108237766,0.12987629,0.13341162
71,0.029035464,0.30564317,0.068739355,0.03219535,0.3000364,0.05042197,0.04674595,0.113007896,0.05417448
72,0.104161926,0.02560555,0.049030878,0.190793,0.04858465,0.10614763,0.09642242,0.3086658,0.07058818
73,0.03723232,0.0357107,0.40812543,0.06254006,0.050140943,0.034869026,0.19823499,0.1436789,0.029467613
74,0.03948694,0.08466568,0.041595653,0.042698596,0.1083612,0.43854642,0.14178173,0.03621379,0.06664998
75,0.037351344,0.024655348,0.32660753,0.13952635,0.055429526,0.02999249,0.036210645,0.15305205,0.19717473
76,0.14292084,0.031335674,0.082922444,0.079288915,0.18677945,0.048358727,0.05140977,0.3459538,0.031030335
77,0.13302581,0.036998525,0.045090232,0.24840964,0.18440904,0.11178167,0.032152593,0.034427002,0.17370544
