,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,0.07792434,0.10185415,0.04796862,0.06517677,0.028894616,0.06259126,0.12046321,0.14131704,0.35381004
1,0.16384569,0.062530644,0.08382244,0.0575789,0.35493094,0.05449135,0.05894203,0.06234059,0.101517454
2,0.03825455,0.040860143,0.12301228,0.15753974,0.075881824,0.097192116,0.19297527,0.0485531,0.22573097
3,0.32873106,0.054867756,0.06352593,0.10823381,0.038529597,0.11762312,0.050714523,0.09863045,0.13914376
4,0.18109496,0.20314628,0.1010261,0.21761914,0.04151371,0.0795147,0.037983257,0.10512091,0.03298093
5,0.31661844,0.045854032,0.033870444,0.05646989,0.031077275,0.11964354,0.23094891,0.05913314,0.10638432
6,0.07806126,0.078506954,0.13109167,0.073842,0.14343011,0.28327107,0.0435115,0.035450272,0.13283518
7,0.13426436,0.10348029,0.05163916,0.05228278,0.120473206,0.097088255,0.054823153,0.06483632,0.32111248
8,0.06625604,0.12161842,0.062191106,0.062148955,0.15356104,0.11712109,0.12362154,0.06130384,0.23217799
9,0.10546931,0.11552395,0.17745243,0.068336695,0.075420626,0.09970966,0.17370348,0.11352662,0.07085724
10,0.4577125,0.10314813,0.03932423,0.040805846,0.03752782,0.03791926,0.16106394,0.07168636,0.050811917
11,0.20447712,0.051410176,0.053522654,0.036783125,0.03779748,0.06279719,0.18670343,0.16976084,0.19674797
12,0.043541398,0.06840796,0.052141808,0.04521803,0.21437676,0.10245924,0.064152904,0.120685115,0.2890168
13,0.041603044,0.063735515,0.040084958,0.19780701,0.18009269,0.18973196,0.06508895,0.074089706,0.14776617
14,0.08341849,0.066372916,0.090838045,0.34921435,0.06286212,0.07493282,0.06435337,0.09594272,0.11206523
15,0.058105793,0.07797654,0.06596933,0.2090401,0.25505918,0.05937218,0.14003557,0.064026624,0.070414685
16,0.06102225,0.03973361,0.07605268,0.13101868,0.25730047,0.07838724,0.040274587,0.15898912,0.15722139
17,0.049706526,0.08356745,0.17571324,0.03988954,0.07632227,0.06487175,0.23378348,0.059349332,0.21679637
18,0.10468671,0.34888732,0.16106822,0.03240436,0.043379724,0.08163105,0.070357546,0.11178079,0.045804307
19,0.117910326,0.10323701,0.100561865,0.09608277,0.08081581,0.2425469,0.10566114,0.04933751,0.10384668
20,0.19071175,0.08069905,0.05268534,0.37523177,0.05245162,0.07312096,0.051069453,0.051617034,0.07241306
21,0.036776435,0.031334385,0.059777655,0.08344179,0.04607382,0.052650474,0.39545548,0.08663763,0.20785238
22,0.12025333,0.05194214,0.047053806,0.04437771,0.34697083,0.13118547,0.04712648,0.043882664,0.16720755
23,0.5056283,0.09029236,0.026356947,0.027909784,0.043675,0.02637187,0.10494646,0.040379453,0.13443989
24,0.15181573,0.09393894,0.03390153,0.15964344,0.024384903,0.049065292,0.039490096,0.38244358,0.06531653
25,0.06041051,0.049934693,0.07883369,0.23079996,0.22828698,0.054925717,0.04504334,0.2082835,0.043481644
26,0.102565475,0.034422398,0.030709103,0.03240174,0.03841312,0.24627592,0.04045859,0.26597473,0.20877892
27,0.05917819,0.15419553,0.09910739,0.35004616,0.06042673,0.094221756,0.06053555,0.0643169,0.05797184
28,0.20294508,0.21790475,0.0325608,0.0583757,0.03221504,0.1404494,0.037699237,0.24074778,0.03710219
29,0.14505711,0.057633195,0.07116254,0.12843178,0.018975267,0.08520209,0.26538172,0.08209376,0.14606248
30,0.028778905,0.16786022,0.02119271,0.20997936,0.028500684,0.037069704,0.022986457,0.2918012,0.19183078
31,0.05914555,0.06977726,0.21225904,0.0775079,0.102703184,0.07246195,0.10560615,0.1265316,0.17400739
32,0.17387086,0.062213592,0.078797065,0.16120906,0.061629817,0.16198105,0.12047144,0.10656976,0.07325734
33,0.06515892,0.19981192,0.07672122,0.07164076,0.059801303,0.10377204,0.14941162,0.15660915,0.11707308
34,0.08222789,0.06994176,0.108229555,0.37551075,0.06959935,0.08416685,0.07061639,0.07003504,0.069672436
35,0.24551491,0.15104349,0.13703784,0.06258279,0.12029786,0.025194837,0.024994023,0.15422107,0.079113185
36,0.0753297,0.15347804,0.079500176,0.08013919,0.07674361,0.11863473,0.26455164,0.07616771,0.07545521
37,0.059211083,0.09173931,0.042953715,0.052058496,0.068278044,0.030370878,0.038095765,0.2885491,0.3287436
38,0.31365502,0.05616102,0.067372486,0.05899445,0.08842875,0.08932871,0.07442574,0.19640097,0.055232912
39,0.039992224,0.05910189,0.22938114,0.11109312,0.063225955,0.10399877,0.1355629,0.036921993,0.220722
