Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.01,0.01,0.41880448470608095
75% Corpus,3,0.01,0.31,0.3960865826210412
75% Corpus,3,0.01,0.61,0.3902571787101086
75% Corpus,3,0.01,0.9099999999999999,0.3936433727051672
75% Corpus,3,0.01,symmetric,0.39241331643451244
75% Corpus,3,0.31,0.01,0.41294831392673953
75% Corpus,3,0.31,0.31,0.39350702814170185
75% Corpus,3,0.31,0.61,0.38837138486093187
75% Corpus,3,0.31,0.9099999999999999,0.3896980084901997
75% Corpus,3,0.31,symmetric,0.39350702814170185
75% Corpus,3,0.61,0.01,0.4075642636653049
75% Corpus,3,0.61,0.31,0.39304248641120515
75% Corpus,3,0.61,0.61,0.39097655586431346
75% Corpus,3,0.61,0.9099999999999999,0.3936314854201677
75% Corpus,3,0.61,symmetric,0.39304248641120515
75% Corpus,3,0.9099999999999999,0.01,0.40314467301563156
75% Corpus,3,0.9099999999999999,0.31,0.400289878821176
75% Corpus,3,0.9099999999999999,0.61,0.40029361268088043
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4030852745235303
75% Corpus,3,0.9099999999999999,symmetric,0.400289878821176
75% Corpus,3,symmetric,0.01,0.4123473846710526
75% Corpus,3,symmetric,0.31,0.3884710430135951
75% Corpus,3,symmetric,0.61,0.39345124264801923
75% Corpus,3,symmetric,0.9099999999999999,0.38837138486093187
75% Corpus,3,symmetric,symmetric,0.3884710430135951
75% Corpus,3,asymmetric,0.01,0.4307695665737237
75% Corpus,3,asymmetric,0.31,0.42364632526879564
75% Corpus,3,asymmetric,0.61,0.40069302852938576
75% Corpus,3,asymmetric,0.9099999999999999,0.3996905657443019
75% Corpus,3,asymmetric,symmetric,0.41160793360372905
75% Corpus,4,0.01,0.01,0.42237597885004663
75% Corpus,4,0.01,0.31,0.42822322561191445
75% Corpus,4,0.01,0.61,0.41690758820186563
75% Corpus,4,0.01,0.9099999999999999,0.4188196814587982
75% Corpus,4,0.01,symmetric,0.4300076648957619
75% Corpus,4,0.31,0.01,0.4273613603881795
75% Corpus,4,0.31,0.31,0.40914590803412854
75% Corpus,4,0.31,0.61,0.4115942903987322
75% Corpus,4,0.31,0.9099999999999999,0.41894609853317055
75% Corpus,4,0.31,symmetric,0.4155548878902202
75% Corpus,4,0.61,0.01,0.4306917103155454
75% Corpus,4,0.61,0.31,0.4446267158722166
75% Corpus,4,0.61,0.61,0.45474958210754357
75% Corpus,4,0.61,0.9099999999999999,0.4510645793211935
75% Corpus,4,0.61,symmetric,0.4420853006511386
