,0
0,"['kaisa', 'scot', 'successful', 'london', 'lawyer', 'snow', 'night', 'base', 'aberdeen', 'story', 'begging', 'flee', 'collect', 'alcoholic', 'dad', 'hasnt', 'find', 'impatient', 'hold', 'ruse', 'mom', 'break', 'want', 'daughter', 'trip', 'take', 'complicate', 'drunk', 'live', 'season', 'ban', 'airline', 'get', 'ferry', 'car', 'big', 'care', 'help', 'along', 'way', 'fresh', 'lorry', 'driver', 'make', 'clive', 'give', 'end', 'stability']"
1,"['plague', 'endless', 'jenny', 'suspect', 'child', 'responsible', 'brutal', 'murder', 'mother']"
2,"['novel', 'young', 'nicotine', 'addict', 'traveler', 'make', 'richard', 'avid', 'kill', 'finish', 'lover', 'special', 'love', 'video', 'vietnam', 'war', 'hotel', 'bangkok', 'map', 'give', 'strange', 'whack', 'place', 'suicide', 'lead', 'legendary', 'island', 'paradise', 'wayward', 'someone', 'fall']"
3,"['bronx', 'joe', 'sir', 'irish', 'good', 'guy', 'take', 'big', 'news', 'day', 'genius', 'tumor', 'wife', 'want', 'divorce', 'order', 'dull', 'chance', 'grace', 'bad', 'operation', 'louisville', 'latch', 'quiet', 'sharon', 'rock', 'talkative', 'belle', 'nasty', 'bookie', 'wallet', 'temporary', 'help', 'face', 'move', 'vega', 'shadow', 'cancer', 'lurk', 'adventure', 'stability', 'turn']"
4,"['county', 'durham', 'endless', 'wild', 'take', 'margaret', 'thatcher', 'stop', 'british', 'coal', 'widower', 'jackie', 'elliot', 'gary', 'lewis', 'firstborn', 'boyfriend', 'miner', 'tony', 'jamie', 'blind', 'thought', 'eleven', 'year', 'old', 'second', 'son', 'billy', 'bell', 'short', 'book', 'box', 'name', 'transport', 'neighbor', 'see', 'ballet', 'classmate', 'press', 'gay', 'michael', 'caffrey', 'stuart', 'advance', 'desire', 'excite', 'mrs', 'wilkinson', 'dame', 'julie', 'try', 'talented', 'enough', 'secret', 'world', 'famous', 'royal', 'audition', 'scene', 'fantasy', 'career', 'unimagined', 'pauper', 'quarter', 'pull', 'pop', 'big', 'enemy', 'indispensable', 'living']"
5,"['cross', 'life', 'daniel', 'plainview', 'eli', 'sunday', 'former', 'twentieth', 'century', 'california', 'face', 'miner', 'become', 'oilman', 'take', 'world', 'reach', 'advantage', 'expense', 'want', 'job', 'partner', 'son', 'hw', 'learn', 'hws', 'biological', 'single', 'father', 'turn', 'rig', 'kill', 'work', 'accident', 'protective', 'get', 'partnership', 'couple', 'twin', 'family', 'raise', 'major', 'oil', 'deposit', 'settle', 'local', 'preacher', 'self', 'proclaim', 'trust', 'healer', 'money', 'sale', 'place', 'finance', 'church', 'competitive', 'encounter', 'surround', 'country', 'steal', 'able', 'make', 'line', 'coast', 'religious', 'empire']"
6,"['brendan', 'behan', 'sixteen', 'year', 'old', 'republican', 'start', 'bombing', 'mission', 'ireland', 'liverpool', 'second', 'world', 'war', 'thwart', 'cop', 'point', 'jail', 'borstal', 'reclaim', 'institution', 'young', 'east', 'anglia', 'england', 'force', 'live', 'face', 'perceive', 'enemy', 'encounter', 'mysterious', 'inner', 'fight', 'self', 'test', 'traumatic', 'break', 'take', 'unexpected', 'become', 'make', 'complete', 'spin', 'emotional', 'vortex', 'truth']"
7,"['maya', 'ready', 'witted', 'young', 'woman', 'get', 'mexican', 'edge', 'take', 'way', 'la', 'family', 'former', 'sister', 'rosa', 'job', 'janitor', 'join', 'janitorial', 'help', 'cut', 'dirty', 'mouth', 'supervisor', 'attack', 'whim', 'put', 'sam', 'shapiro', 'justice', 'effort', 'make', 'leave', 'listener', 'draw', 'pain', 'husband', 'believe', 'try', 'world', 'living', 'management', 'intimidate', 'part', 'capture', 'set', 'clash']"
8,"['beautiful', 'psychiatrist', 'step', 'patient', 'top', 'lust', 'murder']"
9,"['repress', 'present', 'eventual', 'sure', 'end', 'chicken', 'raise', 'take', 'rocky', 'rooster', 'ginger', 'decide', 'rebel', 'evil', 'mr', 'grand', 'tweedy', 'lead', 'boyfriend', 'big', 'murderous', 'sentence']"
10,"['single', 'mother', 'vianne', 'rocher', 'juliette', 'binoche', 'year', 'old', 'daughter', 'anouk', 'victoire', 'thivisol', 'go', 'rural', 'france', 'open', 'chocolate', 'shop', 'sunday', 'street', 'local', 'church', 'see', 'skepticism', 'coax', 'town', 'love', 'delicious', 'receive']"
11,"['prospector', 'deal', 'wife', 'daughter', 'gold', 'miner', 'mine', 'wealthy', 'world', 'own', 'old', 'west', 'town', 'make', 'land', 'get', 'brewing', 'fall', 'haunt', 'surveyor', 'crew', 'position', 'new', 'railroad', 'job', 'young', 'woman', 'seem']"
12,"['cameron', 'colley', 'young', 'scottish', 'journalist', 'interest', 'break', 'place', 'deep', 'powerful', 'life', 'easy', 'uneventful', 'person', 'go', 'murder', 'article', 'gruesome', 'home', 'evidence', 'guilty']"
13,"['film', 'home', 'december', 'culminate', 'drug', 'rettendon', 'essex', 'uk', 'patrick', 'tate', 'craig', 'rolfe', 'tony', 'tucker', 'love', 'police', 'lure', 'lane', 'shoot', 'end', 'take', 'gun', 'ride', 'image', 'rover', 'pretext', 'lucrative', 'care', 'get', 'come', 'morning']"
14,"['jewish', 'daughter', 'nineteenth', 'century', 'london', 'dream', 'get', 'stage', 'actress']"
15,"['young', 'player', 'london', 'interest', 'twist', 'sole', 'witness', 'eccentric', 'murder']"
16,"['senior', 'crime', 'boss', 'reflect', 'tell', 'brutality', 'take', 'triumphant', 'fear', 'unknown', 'young', 'tough', 'drop', 'london', 'ape', 'freddie', 'seem', 'anything', 'tale', 'break', 'envy', 'supremacy', 'tall', 'dame', 'sister', 'shark', 'backstabbing', 'system', 'gangster']"
17,"['maximus', 'powerful', 'roman', 'general', 'love', 'age', 'emperor', 'marcus', 'aurelius', 'end', 'take', 'son', 'commodus', 'force', 'struggle', 'leaf', 'family', 'sentence', 'unable', 'save', 'release', 'provide', 'get', 'order', 'gladiator', 'break', 'desire', 'chance', 'prove', 'top', 'able', 'see', 'world', 'find', 'revenge']"
18,"['go', 'billionaire', 'london', 'daughter', 'maggie', 'free', 'impecunious', 'italian', 'prince', 'amerigo', 'best', 'friend', 'charlotte', 'stant', 'alabaster', 'beauty', 'genius', 'money', 'practical', 'romantic', 'nature', 'lover', 'save', 'secret', 'love', 'widow', 'happy', 'meet', 'want', 'close', 'desire', 'danger', 'find', 'italy', 'pain', 'return', 'america', 'make', 'museum', 'amidst', 'rest', 'artifice', 'fate']"
19,"['clive', 'owen', 'prison', 'con', 'get', 'experimental', 'open', 'walk', 'take', 'job', 'coach', 'impend', 'gift', 'realize', 'gardening', 'guru', 'advance', 'embark', 'home', 'rival']"
20,"['film', 'edgy', 'dark', 'comedy', 'set', 'drop', 'london', 'meet', 'street', 'smart', 'head', 'west', 'rob', 'case', 'trouble']"
21,"['hotel', 'splendide', 'remote', 'cold', 'island', 'accessible', 'month', 'ferry', 'dark', 'spa', 'make', 'former', 'dame', 'blanche', 'get', 'move', 'accord', 'answer', 'seaweed', 'fish', 'home', 'food', 'enema', 'kath', 'sou', 'chef', 'come', 'meet', 'anonymous', 'letter', 'separate', 'end', 'easy', 'grand', 'prepare']"
22,"['matt', 'weston', 'ryan', 'cia', 'rookie', 'world', 'good', 'home', 'cape', 'town', 'south', 'africa', 'tobin', 'frost', 'denzel', 'washington', 'want', 'rogue', 'agent', 'get', 'take', 'question', 'overcome', 'escape', 'stay', 'mountain']"
23,"['shy', 'strand', 'smoking', 'insomniac', 'peter', 'mcgowen', 'los', 'playwright', 'introduce', 'current', 'break', 'police', 'bury', 'senility', 'strange', 'meander', 'neighborhood', 'call', 'new', 'frank', 'night', 'wife', 'want', 'child', 'get', 'impotent', 'turn', 'meet', 'single', 'mother', 'door', 'year', 'old', 'daughter', 'receive', 'home', 'raise', 'paternal', 'help', 'take', 'dialogue', 'good', 'doppelganger']"
24,"['kevin', 'perry', 'year', 'old', 'desperation', 'lose', 'virginity', 'big', 'form', 'rare', 'mean', 'singer', 'dance', 'music', 'dj', 'care', 'stop', 'cant', 'robbery', 'theyre', 'open', 'sizable', 'cash', 'reward', 'decide', 'get', 'vacation', 'live', 'beautiful', 'leave', 'rest', 'anyone', 'bu', 'son', 'take', 'sight', 'sunscreen', 'kevins', 'declare', 'ticket', 'undeterred', 'trip', 'see', 'star', 'paul', 'mind', 'demo', 'tape', 'play', 'gemma', 'candice', 'scruffy', 'teenage', 'eager', 'horizontal']"
25,"['little', 'thief', 'beat', 'worker', 'get', 'los', 'unlikely', 'audition', 'find', 'heart', 'murder', 'investigation', 'high', 'school', 'dream', 'daughter', 'detective', 'who', 'coach', 'coming', 'use']"
26,"['morality', 'story', 'xenophobia', 'religious', 'prejudice', 'pack', 'force', 'poverty', 'liverpool', 'low', 'shipyard', 'close', 'liam', 'dad', 'lose', 'job', 'who', 'work', 'start', 'holy', 'communion', 'take', 'regular', 'dose', 'attack', 'brimstone', 'church', 'teresa', 'maid', 'jewish', 'family', 'own', 'dame', 'home', 'thing', 'get', 'accomplice', 'trouble', 'charge', 'cheap', 'irish', 'task', 'molotov', 'cocktail', 'head']"
27,"['update', 'classic', 'shakespeare', 'story', 'director', 'kenneth', 'branagh', 'take', 'film', 'musical', 'best', 'bank', 'love']"
28,"['danny', 'mitchell', 'turn', 'year', 'catholic', 'high', 'school', 'student', 'west', 'belfast', 'ireland', 'encounter', 'professional', 'soccer', 'perfect', 'time', 'go', 'get', 'dance', 'see', 'lucy', 'upper', 'crust', 'protestant', 'return', 'love']"
29,"['historical', 'play', 'music', 'gift', 'singer', 'oleg', 'yankovsky', 'jewish', 'village', 'russia', 'join', 'give', 'young', 'daughter', 'fegele', 'claudia', 'lander', 'duke', 'father', 'call', 'family', 'hell', 'place', 'take', 'life', 'hard', 'universe', 'force', 'flee', 'england', 'british', 'suzie', 'grow', 'small', 'acknowledgment', 'cultural', 'heritage', 'adulthood', 'christina', 'ricci', 'get', 'job', 'talk', 'close', 'order', 'revue', 'paris', 'leaf', 'video', 'believe', 'know', 'america', 'day', 'find', 'lola', 'cate', 'blanchett', 'russian', 'showgirl', 'market', 'deep', 'husband', 'opera', 'lead', 'dante', 'dominio', 'john', 'turturro', 'party', 'care', 'felix', 'perlman', 'harry', 'dean', 'stanton', 'return', 'cesar', 'johnny', 'depp', 'short', 'big', 'gypsy', 'horse', 'trainer', 'happiness', 'professor', 'little', 'live', 'nazi', 'war', 'car', 'cast', 'france']"
30,"['sam', 'hugh', 'laurie', 'lucy', 'bell', 'richardson', 'married', 'couple', 'seem', 'good', 'successful', 'enthusiastic', 'love', 'life', 'thing', 'want', 'sister', 'try', 'everything', 'reproduce', 'new', 'age', 'chanting', 'acupuncture', 'creative', 'hectic', 'schedule', 'advance', 'cardiovascular', 'ovulation', 'exchange', 'spontaneity', 'birth', 'medical', 'time', 'get', 'find', 'job', 'unfulfilling', 'save', 'screenplay', 'forget', 'see', 'hippie', 'friend', 'druscilla', 'dame', 'emma', 'thompson', 'inspire', 'comedy', 'horrify', 'mind', 'tell', 'story', 'important', 'order', 'surprise']"
31,"['end', 'injure', 'power', 'henry', 'viii', 'force', 'take', 'resort', 'manor', 'home', 'close', 'season', 'present', 'mortality']"
32,"['come', 'writer', 'cyberpunk', 'pioneer', 'william', 'gibson', 'digital', 'north', 'american', 'road', 'trip']"
33,"['dublin', 'joyce', 'nora', 'barnacle', 'hotel', 'maid', 'get', 'galway', 'frank', 'head', 'uninhibited', 'fashion', 'long', 'convince', 'trieste', 'job', 'berlitz', 'time', 'phobia', 'drinking', 'take', 'brother', 'stan', 'writin', 'game', 'italy', 'open', 'film', 'sexual', 'jealousy', 'threaten', 'relationship', 'place', 'way', 'reclaim', 'jims', 'park', 'heart', 'monster', 'fellow', 'write']"
34,"['herbert', 'biberman', 'struggle', 'hollywood', 'writer', 'director', 'blacklist', 'decade']"
35,"['mother', 'attempt', 'small', 'time', 'turn', 'paul', 'nixon', 'want', 'revenge', 'scare', 'possible', 'personal', 'emerge', 'professional', 'life', 'engage', 'help', 'old', 'school', 'friend', 'steve', 'call', 'pussy', 'guy', 'lenny', 'clean', 'stick', 'owner', 'gangland', 'enforcer', 'involve', 'return', 'ed', 'slap', 'do', 'get', 'large', 'villain', 'name', 'tate', 'dead', 'take', 'cut', 'kill', 'force', 'believe', 'future', 'underworld', 'world', 'love', 'change', 'son', 'see', 'way', 'favor', 'work', 'grave', 'business']"
36,"['friendship', 'betrayal', 'french', 'revolution']"
